animal name,feathers,eggs,airborne,aquatic,predator,toothed,backbone,breathes,fins,no legs,2 legs,4 legs,6 legs,8 legs,tail,domestic,catsize,venomous,mammal
kiwi,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
ladybird,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
lark,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
leopard,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1
lion,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1
lobster,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
lynx,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1
mink,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1
mole,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1
mongoose,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1
moth,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
newt,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
octopus,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
opossum,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1
oryx,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1
ostrich,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
parakeet,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
penguin,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0
pheasant,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
pike,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0
piranha,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0
pitviper,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0
platypus,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1
polecat,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1
pony,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1
porpoise,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1
puma,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1
pussycat,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1
raccoon,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1
reindeer,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1
rhea,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0
scorpion,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
seahorse,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
seal,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1
sealion,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1
seasnake,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0
seawasp,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
skimmer,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
skua,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
slowworm,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
slug,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
sole,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
sparrow,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
squirrel,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
starfish,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stingray,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0
swan,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
termite,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
toad,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
tortoise,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
tuatara,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
tuna,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0
vampire,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
vole,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1
vulture,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0
wallaby,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1
wasp,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
wolf,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1
worm,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
wren,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
